('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         956122 function calls (931836 primitive calls) in 13.337 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.005    0.001 cookiejar.py:1599(make_cookies)
       88    0.000    0.000    0.002    0.000 typing_extensions.py:3228(_collect_parameters)
      268    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      237    0.000    0.000    0.841    0.004 <frozen importlib._bootstrap_external>:159(_path_isfile)
       46    0.000    0.000    0.001    0.000 response.py:1324(_update_chunk_length)
      721    0.000    0.000    0.001    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      336    0.000    0.000    0.003    0.000 typing.py:166(_type_convert)
       55    0.000    0.000    0.005    0.000 typing.py:1449(__getitem__)
      356    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      176    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      145    0.000    0.000    0.003    0.000 typing.py:1147(__init__)
        9    0.000    0.000    0.005    0.001 cookiejar.py:949(set_ok)
        1    0.000    0.000    0.004    0.004 typing_extensions.py:1(<module>)
       25    0.000    0.000    0.002    0.000 cookiejar.py:620(request_host)
      142    0.000    0.000    0.004    0.000 css_types.py:203(__init__)
      412    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      744    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      311    0.000    0.000    0.319    0.001 __init__.py:226(compile)
      325    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
       70    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      197    0.000    0.000    1.859    0.009 <frozen importlib._bootstrap_external>:1520(find_spec)
        2    0.000    0.000    0.001    0.000 models.py:658(__init__)
       12    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
      524    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       64    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       50    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
       88    0.000    0.000    0.001    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
       10    0.000    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
      208    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
